iShares Core S&P Total U.S. Stock Market ETF
Fund Holdings as of,"Apr 29, 2020"
Inception Date,"Jan 20, 2004"
Shares Outstanding,"366,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"OFLX","OMEGA FLEX INC","Equity","0.00","89.41","6,562.00","586,708.42","586,708.42","Industrials","B0FPH75","US6820951043","NASDAQ"
"BRBR","BELLRING BRANDS INC CLASS A","Equity","0.00","18.00","32,569.00","586,242.00","586,242.00","Consumer Staples","BK6V415","US0798231009","New York Stock Exchange Inc."
"SEB","SEABOARD CORP","Equity","0.00","3,200.00","183.00","585,600.00","585,600.00","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"MHO","M I HOMES INC","Equity","0.00","27.49","21,231.00","583,640.19","583,640.19","Consumer Discretionary","2549385","US55305B1017","New York Stock Exchange Inc."
"INTL","INTL FCSTONE INC","Equity","0.00","41.80","13,954.00","583,277.20","583,277.20","Financials","2456441","US46116V1052","NASDAQ"
"NPK","NATIONAL PRESTO INDUSTRIES INC","Equity","0.00","89.91","6,444.00","579,380.04","579,380.04","Industrials","2626802","US6372151042","New York Stock Exchange Inc."
"SCSC","SCANSOURCE INC","Equity","0.00","26.55","21,826.00","579,480.30","579,480.30","Information Technology","2767756","US8060371072","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.00","199.49","2,907.00","579,917.43","579,917.43","Financials","BYSPYB3","US6385171029","NASDAQ"
"SAFE","SAFEHOLD INC","Equity","0.00","57.16","10,156.00","580,516.96","580,516.96","Real Estate","BJ50QH6","US78645L1008","New York Stock Exchange Inc."
"AIR","AAR CORP","Equity","0.00","20.30","28,458.00","577,697.40","577,697.40","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"ASTE","ASTEC INDUSTRIES INC","Equity","0.00","40.58","14,274.00","579,238.92","579,238.92","Industrials","2060370","US0462241011","NASDAQ"
"WBT","WELBILT INC","Equity","0.00","5.26","109,437.00","575,638.62","575,638.62","Industrials","BYP5773","US9490901041","New York Stock Exchange Inc."
"NHC","NATIONAL HEALTHCARE CORP","Equity","0.00","73.97","7,737.00","572,305.89","572,305.89","Health Care","2139731","US6359061008","Nyse Mkt Llc"
"VRTS","VIRTUS INVESTMENT PARTNERS INC","Equity","0.00","85.87","6,644.00","570,520.28","570,520.28","Financials","B3KKGQ8","US92828Q1094","NASDAQ"
"RDUS","RADIUS HEALTH INC","Equity","0.00","15.97","35,718.00","570,416.46","570,416.46","Health Care","BM68KK1","US7504692077","NASDAQ"
"ACLS","AXCELIS TECHNOLOGIES INC","Equity","0.00","25.82","22,103.00","570,699.46","570,699.46","Information Technology","BD420Q8","US0545402085","NASDAQ"
"DNOW","NOW INC","Equity","0.00","6.54","87,276.00","570,785.04","570,785.04","Industrials","BMH0MV1","US67011P1003","New York Stock Exchange Inc."
"ATNI","ATN INTERNATIONAL INC","Equity","0.00","76.10","7,502.00","570,902.20","570,902.20","Communication","BDC84D3","US00215F1075","NASDAQ"
"NGM","NGM BIOPHARMACEUTICALS INC","Equity","0.00","18.25","31,290.00","571,042.50","571,042.50","Health Care","BJ1FD63","US62921N1054","NASDAQ"
"JBSS","JOHN B SANFILIPPO AND SON INC","Equity","0.00","84.79","6,742.00","571,654.18","571,654.18","Consumer Staples","2772998","US8004221078","NASDAQ"
"SSTK","SHUTTERSTOCK INC","Equity","0.00","38.34","14,782.00","566,741.88","566,741.88","Consumer Discretionary","B7ZR219","US8256901005","New York Stock Exchange Inc."
"AKRO","AKERO THERAPEUTICS INC","Equity","0.00","21.50","26,372.00","566,998.00","566,998.00","Health Care","BK7Y2V9","US00973Y1082","NASDAQ"
"GLT","GLATFELTER","Equity","0.00","15.66","35,934.00","562,726.44","562,726.44","Materials","2372008","US3773161043","New York Stock Exchange Inc."
"ANF","ABERCROMBIE AND FITCH CLASS A","Equity","0.00","11.38","49,350.00","561,603.00","561,603.00","Consumer Discretionary","2004185","US0028962076","New York Stock Exchange Inc."
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.00","42.24","13,264.00","560,271.36","560,271.36","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"VBTX","VERITEX HOLDINGS INC","Equity","0.00","17.87","31,383.00","560,814.21","560,814.21","Financials","BRCYYB7","US9234511080","NASDAQ"
"AIMT","AIMMUNE THERAPEUTICS INC","Equity","0.00","18.18","30,913.00","561,998.34","561,998.34","Health Care","BYVDTK8","US00900T1079","NASDAQ"
"CTS","CTS CORP","Equity","0.00","24.57","22,882.00","562,210.74","562,210.74","Information Technology","2239244","US1265011056","New York Stock Exchange Inc."
"TTEC","TTEC HOLDINGS INC","Equity","0.00","39.93","14,085.00","562,414.05","562,414.05","Information Technology","BF950B1","US89854H1023","NASDAQ"
"BOOT","BOOT BARN HOLDINGS INC","Equity","0.00","18.53","30,030.00","556,455.90","556,455.90","Consumer Discretionary","BRS6600","US0994061002","New York Stock Exchange Inc."
"FMBH","FIRST MID BANCSHARES INC","Equity","0.00","28.17","19,658.00","553,765.86","553,765.86","Financials","B016HX8","US3208661062","NASDAQ"
"LC","LENDINGCLUB CORP","Equity","0.00","8.22","67,173.00","552,162.06","552,162.06","Financials","BK95GR4","US52603A2087","New York Stock Exchange Inc."
"CWENA","CLEARWAY ENERGY INC CLASS A","Equity","0.00","19.15","28,660.00","548,839.00","548,839.00","Utilities","BGJRH35","US18539C1053","New York Stock Exchange Inc."
"VCTR","VICTORY CAPITAL HOLDINGS CLASS A I","Equity","0.00","15.33","35,849.00","549,565.17","549,565.17","Financials","BFYVKR0","US92645B1035","NASDAQ"
"MLAB","MESA LABORATORIES INC","Equity","0.00","242.83","2,261.00","549,038.63","549,038.63","Health Care","2553814","US59064R1095","NASDAQ"
"ADVM","ADVERUM BIOTECHNOLOGIES INC","Equity","0.00","13.06","42,115.00","550,021.90","550,021.90","Health Care","BD6NXD7","US00773U1088","NASDAQ"
"EVH","EVOLENT HEALTH INC CLASS A","Equity","0.00","8.01","68,402.00","547,900.02","547,900.02","Health Care","BYLY8H1","US30050B1017","New York Stock Exchange Inc."
"CASH","META FINANCIAL GROUP INC","Equity","0.00","19.01","28,831.00","548,077.31","548,077.31","Financials","2420316","US59100U1088","NASDAQ"
"WRLD","WORLD ACCEPTANCE CORP","Equity","0.00","75.37","7,213.00","543,643.81","543,643.81","Financials","2981181","US9814191048","NASDAQ"
"GWRS","GLOBAL WATER RESOURCES INC","Equity","0.00","10.96","49,744.00","545,194.24","545,194.24","Utilities","BD2ZJQ2","US3794631024","NASDAQ"
"AROC","ARCHROCK INC","Equity","0.00","4.92","109,968.00","541,042.56","541,042.56","Energy","BYRGSX7","US03957W1062","New York Stock Exchange Inc."
"COHU","COHU INC","Equity","0.00","18.09","29,794.00","538,973.46","538,973.46","Information Technology","2208426","US1925761066","NASDAQ"
"SEAS","SEAWORLD ENTERTAINMENT INC","Equity","0.00","16.11","33,462.00","539,072.82","539,072.82","Consumer Discretionary","B84KWJ4","US81282V1008","New York Stock Exchange Inc."
"UCTT","ULTRA CLEAN HOLDINGS INC","Equity","0.00","18.85","28,548.00","538,129.80","538,129.80","Information Technology","B00G0F2","US90385V1070","NASDAQ"
"RIG","TRANSOCEAN LTD","Equity","0.00","1.12","480,000.00","537,600.00","537,600.00","Energy","B3KFWW1","CH0048265513","New York Stock Exchange Inc."
"IMGN","IMMUNOGEN INC","Equity","0.00","4.07","131,135.00","533,719.45","533,719.45","Health Care","2457864","US45253H1014","NASDAQ"
"NYMT","NEW YORK MORTGAGE TRUST REIT INC","Equity","0.00","2.33","229,517.00","534,774.61","534,774.61","Financials","B01LWM7","US6496045013","NASDAQ"
"LASR","NLIGHT INC","Equity","0.00","17.01","31,511.00","536,002.11","536,002.11","Information Technology","BFZP4R9","US65487K1007","NASDAQ"
"OPCH","OPTION CARE HEALTH INC","Equity","0.00","14.64","36,420.00","533,188.80","533,188.80","Health Care","BKM5C62","US68404L2016","NASDAQ"
"KNSA","KINIKSA PHARMACEUTICALS LTD CLASS","Equity","0.00","19.54","27,201.00","531,507.54","531,507.54","Health Care","BD0MGM0","BMG5269C1010","NASDAQ"
"DSPG","DSP GROUP INC","Equity","0.00","18.17","29,341.00","533,125.97","533,125.97","Information Technology","2275680","US23332B1061","NASDAQ"
"STAR","ISTAR REIT INC","Equity","0.00","9.92","53,415.00","529,876.80","529,876.80","Real Estate","2259190","US45031U1016","New York Stock Exchange Inc."
"INN","SUMMIT HOTEL PROPERTIES REIT INC","Equity","0.00","6.45","82,218.00","530,306.10","530,306.10","Real Estate","B3M7R64","US8660821005","New York Stock Exchange Inc."
"NMRK","NEWMARK GROUP INC CLASS A","Equity","0.00","4.10","128,619.00","527,337.90","527,337.90","Real Estate","BF1Q6P8","US65158N1028","NASDAQ"
"AERI","AERIE PHARMACEUTICALS INC","Equity","0.00","15.34","34,410.00","527,849.40","527,849.40","Health Care","BFRTDG1","US00771V1089","NASDAQ"
"MBUU","MALIBU BOATS CLASS A INC","Equity","0.00","35.89","14,606.00","524,209.34","524,209.34","Consumer Discretionary","BJ38KJ2","US56117J1007","NASDAQ"
"SYBT","STOCK YARDS BANCORP INC","Equity","0.00","34.70","15,083.00","523,380.10","523,380.10","Financials","BLY2FB4","US8610251048","NASDAQ"
"UPLD","UPLAND SOFTWARE INC","Equity","0.00","30.57","16,992.00","519,445.44","519,445.44","Information Technology","BS7K7H4","US91544A1097","NASDAQ"
"REZI","RESIDEO TECHNOLOGIES INC","Equity","0.00","5.18","100,439.00","520,274.02","520,274.02","Industrials","BFD1TJ6","US76118Y1047","New York Stock Exchange Inc."
"IGMS","IGM BIOSCIENCES INC","Equity","0.00","53.74","9,676.00","519,988.24","519,988.24","Health Care","BKS3SM8","US4495851085","NASDAQ"
"CIO","CITY OFFICE REIT INC","Equity","0.00","10.08","51,632.00","520,450.56","520,450.56","Real Estate","BL25F37","US1785871013","New York Stock Exchange Inc."
"ALX","ALEXANDERS REIT INC","Equity","0.00","324.85","1,605.00","521,384.25","521,384.25","Real Estate","2014021","US0147521092","New York Stock Exchange Inc."
"OFIX","ORTHOFIX MEDICAL INC","Equity","0.00","35.38","14,667.00","518,918.46","518,918.46","Health Care","BGGJFT6","US68752M1080","NASDAQ"
"CVI","CVR ENERGY INC","Equity","0.00","23.64","21,858.00","516,723.12","516,723.12","Energy","B23PS12","US12662P1084","New York Stock Exchange Inc."
"STC","STEWART INFO SERVICES CORP","Equity","0.00","31.70","16,242.00","514,871.40","514,871.40","Financials","2848736","US8603721015","New York Stock Exchange Inc."
"SBBP","STRONGBRIDGE BIOPHARMA","Equity","0.00","2.86","180,049.00","514,940.14","514,940.14","Health Care","BYZ5XL9","IE00BYZ5XL97","NASDAQ"
"HSTM","HEALTHSTREAM INC","Equity","0.00","24.29","21,208.00","515,142.32","515,142.32","Health Care","2577870","US42222N1037","NASDAQ"
"RESI","FRONT YARD RESIDENTIAL CORP","Equity","0.00","11.75","43,895.00","515,766.25","515,766.25","Real Estate","BDSHDS2","US35904G1076","New York Stock Exchange Inc."
"SPRO","SPERO THERAPEUTICS INC","Equity","0.00","12.06","42,824.00","516,457.44","516,457.44","Health Care","BF4HN80","US84833T1034","NASDAQ"
"AHH","ARMADA HOFFLER PROPERTIES REIT INC","Equity","0.00","9.89","51,906.00","513,350.34","513,350.34","Real Estate","B96FTB5","US04208T1088","New York Stock Exchange Inc."
"CTBI","COMMUNITY TRUST BANCORP INC","Equity","0.00","35.70","14,381.00","513,401.70","513,401.70","Financials","2706470","US2041491083","NASDAQ"
"LENB","LENNAR CORP CLASS B","Equity","0.00","40.35","12,681.00","511,678.35","511,678.35","Consumer Discretionary","2578293","US5260573028","New York Stock Exchange Inc."
"SRCE","1ST SOURCE CORP","Equity","0.00","36.19","14,042.00","508,179.98","508,179.98","Financials","2341848","US3369011032","NASDAQ"
"ADT","ADT INC","Equity","0.00","5.81","87,235.00","506,835.35","506,835.35","Industrials","BFWCP81","US00090Q1031","New York Stock Exchange Inc."
"LBC","LUTHER BURBANK CORP","Equity","0.00","11.02","45,825.00","504,991.50","504,991.50","Financials","BD1KJP7","US5505501073","NASDAQ"
"WASH","WASHINGTON TRUST BANCORP INC","Equity","0.00","36.58","13,807.00","505,060.06","505,060.06","Financials","2942025","US9406101082","NASDAQ"
"FDEF","FIRST DEFIANCE FINANCIAL CORP","Equity","0.00","17.83","28,429.00","506,889.07","506,889.07","Financials","2356701","US32006W1062","NASDAQ"
"ZUMZ","ZUMIEZ INC","Equity","0.00","22.65","22,393.00","507,201.45","507,201.45","Consumer Discretionary","B081QB7","US9898171015","NASDAQ"
"KRYS","KRYSTAL BIOTECH INC","Equity","0.00","49.86","10,079.00","502,538.94","502,538.94","Health Care","BD6JX35","US5011471027","NASDAQ"
"CRY","CRYOLIFE INC","Equity","0.00","23.10","21,703.00","501,339.30","501,339.30","Health Care","2239017","US2289031005","New York Stock Exchange Inc."
"GFF","GRIFFON CORP","Equity","0.00","17.05","29,407.00","501,389.35","501,389.35","Industrials","2463344","US3984331021","New York Stock Exchange Inc."
"HSKA","HESKA CORP","Equity","0.00","72.31","6,934.00","501,397.54","501,397.54","Health Care","B44C366","US42805E3062","NASDAQ"
"SAH","SONIC AUTOMOTIVE INC CLASS A","Equity","0.00","22.51","22,191.00","499,519.41","499,519.41","Consumer Discretionary","2125246","US83545G1022","New York Stock Exchange Inc."
"CAMP","CALAMP CORP","Equity","0.00","6.97","71,650.00","499,400.50","499,400.50","Information Technology","2164700","US1281261099","NASDAQ"
"PRSC","PROVIDENCE SERVICE CORP","Equity","0.00","62.06","8,050.00","499,583.00","499,583.00","Health Care","2918576","US7438151026","NASDAQ"
"OFG","OFG BANCORP","Equity","0.00","13.60","36,448.00","495,692.80","495,692.80","Financials","B87LKR8","PR67103X1020","New York Stock Exchange Inc."
"ANIK","ANIKA THERAPEUTICS INC","Equity","0.00","35.84","13,847.00","496,276.48","496,276.48","Health Care","2035754","US0352551081","NASDAQ"
"ECPG","ENCORE CAPITAL GROUP INC","Equity","0.00","28.92","17,081.00","493,982.52","493,982.52","Financials","2443078","US2925541029","NASDAQ"
"UBX","UNITY BIOTECHNOLOGY INC","Equity","0.00","6.93","71,404.00","494,829.72","494,829.72","Health Care","BDT5LR0","US91381U1016","NASDAQ"
"MTDR","MATADOR RESOURCES","Equity","0.00","6.70","73,305.00","491,143.50","491,143.50","Energy","B7MSLL8","US5764852050","New York Stock Exchange Inc."
"GBX","GREENBRIER INC","Equity","0.00","17.06","28,809.00","491,481.54","491,481.54","Industrials","2387530","US3936571013","New York Stock Exchange Inc."
"MBI","MBIA INC","Equity","0.00","8.43","58,306.00","491,519.58","491,519.58","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"FOCS","FOCUS FINANCIAL PARTNERS INC CLASS","Equity","0.00","25.48","19,254.00","490,591.92","490,591.92","Financials","BF7J7H0","US34417P1003","NASDAQ"
"SYRS","SYROS PHARMACEUTICALS INC","Equity","0.00","8.46","58,004.00","490,713.84","490,713.84","Health Care","BYMX5N2","US87184Q1076","NASDAQ"
"LILA","LIBERTY LATIN AMERICA LTD CLASS A","Equity","0.00","11.43","43,008.00","491,581.44","491,581.44","Communication","BD9Q3P5","BMG9001E1021","NASDAQ"
"EFC","ELLINGTON FINANCIAL INC","Equity","0.00","10.91","45,076.00","491,779.16","491,779.16","Financials","BJ7MB31","US28852N1090","New York Stock Exchange Inc."
"AGM","FEDERAL AGRICULTURAL MORTGAGE NON","Equity","0.00","66.49","7,357.00","489,166.93","489,166.93","Financials","2363381","US3131483063","New York Stock Exchange Inc."
"PETQ","PETIQ INC CLASS A","Equity","0.00","29.84","16,402.00","489,435.68","489,435.68","Health Care","BDH65C8","US71639T1060","NASDAQ"
"AVRO","AVROBIO INC","Equity","0.00","14.52","33,717.00","489,570.84","489,570.84","Health Care","BF2G3Y5","US05455M1009","NASDAQ"
"CRMT","AMERICAS CAR-MART INC","Equity","0.00","67.59","7,248.00","489,892.32","489,892.32","Consumer Discretionary","2813961","US03062T1051","NASDAQ"
"CEVA","CEVA INC","Equity","0.00","32.88","14,917.00","490,470.96","490,470.96","Information Technology","2986937","US1572101053","NASDAQ"
"CCB","COASTAL FINANCIAL CORP","Equity","0.00","15.55","31,345.00","487,414.75","487,414.75","Financials","BF7J9X0","US19046P2092","NASDAQ"
"SRRK","SCHOLAR ROCK HOLDING CORP","Equity","0.00","17.87","27,297.00","487,797.39","487,797.39","Health Care","BFZQ0L8","US80706P1030","NASDAQ"
"EFSC","ENTERPRISE FINANCIAL SERVICES CORP","Equity","0.00","32.48","14,836.00","481,873.28","481,873.28","Financials","2768889","US2937121059","NASDAQ"
"PRIM","PRIMORIS SERVICES CORP","Equity","0.00","16.33","29,515.00","481,979.95","481,979.95","Industrials","B1GC200","US74164F1030","NASDAQ"
"BJRI","BJS RESTAURANTS INC","Equity","0.00","22.78","21,196.00","482,844.88","482,844.88","Consumer Discretionary","2200552","US09180C1062","NASDAQ"
"TCBK","TRICO BANCSHARES","Equity","0.00","31.73","15,219.00","482,898.87","482,898.87","Financials","2904133","US8960951064","NASDAQ"
"HFWA","HERITAGE FINANCIAL CORP","Equity","0.00","21.77","22,192.00","483,119.84","483,119.84","Financials","2619880","US42722X1063","NASDAQ"
"REX","REX AMERICAN RESOURCES CORP","Equity","0.00","61.94","7,733.00","478,982.02","478,982.02","Energy","2063670","US7616241052","New York Stock Exchange Inc."
"PHR","PHREESIA INC","Equity","0.00","26.66","17,981.00","479,373.46","479,373.46","Health Care","BKF9DQ8","US71944F1066","New York Stock Exchange Inc."
"AEGN","AEGION CORP CLASS A","Equity","0.00","16.33","29,166.00","476,280.78","476,280.78","Industrials","B764L34","US00770F1049","NASDAQ"
"MSGN","MSG NETWORKS INC CLASS A","Equity","0.00","12.48","38,190.00","476,611.20","476,611.20","Communication","BYM0M65","US5535731062","New York Stock Exchange Inc."
"STOK","STOKE THERAPEUTICS INC","Equity","0.00","23.14","20,650.00","477,841.00","477,841.00","Health Care","BJQ05Z6","US86150R1077","NASDAQ"
"GSHD","GOOSEHEAD INSURANCE INC CLASS A","Equity","0.00","57.49","8,241.00","473,775.09","473,775.09","Financials","BZ2YT30","US38267D1090","NASDAQ"
"VAPO","VAPOTHERM INC","Equity","0.00","20.24","23,462.00","474,870.88","474,870.88","Health Care","BGYBYK8","US9221071072","New York Stock Exchange Inc."
"TBI","TRUEBLUE INC","Equity","0.00","15.74","30,208.00","475,473.92","475,473.92","Industrials","2519849","US89785X1019","New York Stock Exchange Inc."
"BMRC","BANK OF MARIN BANCORP","Equity","0.00","36.10","13,058.00","471,393.80","471,393.80","Financials","2647375","US0634251021","NASDAQ"
"APOG","APOGEE ENTERPRISES INC","Equity","0.00","21.38","22,126.00","473,053.88","473,053.88","Industrials","2046176","US0375981091","NASDAQ"
"EBSB","MERIDIAN BANCORP INC","Equity","0.00","12.67","37,373.00","473,515.91","473,515.91","Financials","BPN6139","US58958U1034","NASDAQ"
"PLCE","CHILDRENS PLACE INC","Equity","0.00","31.39","14,952.00","469,343.28","469,343.28","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"LORL","LORAL SPACE AND COMMUNICATIONS INC","Equity","0.00","17.63","26,636.00","469,592.68","469,592.68","Communication","B0LXSR0","US5438811060","NASDAQ"
"GMRE","GLOBAL MEDICAL REIT INC","Equity","0.00","10.78","43,588.00","469,878.64","469,878.64","Real Estate","BSNMBW7","US37954A2042","New York Stock Exchange Inc."
"BANC","BANC OF CALIFORNIA INC","Equity","0.00","10.91","43,079.00","469,991.89","469,991.89","Financials","BCD47X4","US05990K1060","New York Stock Exchange Inc."
"GNMK","GENMARK DIAGNOSTICS INC","Equity","0.00","12.53","37,555.00","470,564.15","470,564.15","Health Care","B3M23R2","US3723091043","NASDAQ"
"IVR","INVESCO MORTGAGE CAPITAL REIT INC","Equity","0.00","3.33","140,395.00","467,515.35","467,515.35","Financials","B5ZW0F0","US46131B1008","New York Stock Exchange Inc."
"UFCS","UNITED FIRE GROUP INC","Equity","0.00","30.73","15,229.00","467,987.17","467,987.17","Financials","B4WXG84","US9103401082","NASDAQ"
"NXTC","NEXTCURE INC","Equity","0.00","36.70","12,760.00","468,292.00","468,292.00","Health Care","BJL3CL5","US65343E1082","NASDAQ"
"EBIX","EBIX INC","Equity","0.00","21.53","21,760.00","468,492.80","468,492.80","Information Technology","2008400","US2787152063","NASDAQ"
"LEVI","LEVI STRAUSS CLASS A","Equity","0.00","13.36","34,909.00","466,384.24","466,384.24","Consumer Discretionary","BHRWS81","US52736R1023","New York Stock Exchange Inc."
"MRC","MRC GLOBAL INC","Equity","0.00","5.78","80,370.00","464,538.60","464,538.60","Industrials","B7M66F1","US55345K1034","New York Stock Exchange Inc."
"SONO","SONOS INC","Equity","0.00","9.97","46,656.00","465,160.32","465,160.32","Consumer Discretionary","BYWPZW7","US83570H1086","NASDAQ"
"NLTX","NEOLEUKIN THERAPEUTICS INC","Equity","0.00","11.50","40,539.00","466,198.50","466,198.50","Health Care","BJ9NFQ3","US64049K1043","NASDAQ"
"MDP","MEREDITH CORP","Equity","0.00","15.19","30,545.00","463,978.55","463,978.55","Communication","2578516","US5894331017","New York Stock Exchange Inc."
"TRTX","TPG RE FINANCE TRUST INC","Equity","0.00","8.19","56,626.00","463,766.94","463,766.94","Financials","BF2F1Q0","US87266M1071","New York Stock Exchange Inc."
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Equity","0.00","6.18","74,355.00","459,513.90","459,513.90","Energy","BF2GC59","US5596631094","New York Stock Exchange Inc."
"AMNB","AMERICAN NATIONAL BANKSHARES INC","Equity","0.00","29.44","15,609.00","459,528.96","459,528.96","Financials","2596950","US0277451086","NASDAQ"
"ABR","ARBOR REALTY TRUST REIT INC","Equity","0.00","7.18","64,074.00","460,051.32","460,051.32","Financials","B00N2S0","US0389231087","New York Stock Exchange Inc."
"ARCB","ARCBEST CORP","Equity","0.00","21.66","21,246.00","460,188.36","460,188.36","Industrials","BLTFST7","US03937C1053","NASDAQ"
"LVGO","LIVONGO HEALTH INC","Equity","0.00","41.13","11,195.00","460,450.35","460,450.35","Health Care","BK74NR2","US5391831030","NASDAQ"
"OII","OCEANEERING INTERNATIONAL INC","Equity","0.00","5.19","88,067.00","457,067.73","457,067.73","Energy","2655583","US6752321025","New York Stock Exchange Inc."
"VCEL","VERICEL CORP","Equity","0.00","14.56","31,399.00","457,169.44","457,169.44","Health Care","BSBMN89","US92346J1088","NASDAQ"
"BSIG","BRIGHTSPHERE INVESTMENT GROUP INC","Equity","0.00","7.88","58,090.00","457,749.20","457,749.20","Financials","BJBLBN4","US10948W1036","New York Stock Exchange Inc."
"CKH","SEACOR HOLDINGS INC","Equity","0.00","30.06","15,247.00","458,324.82","458,324.82","Energy","2797838","US8119041015","New York Stock Exchange Inc."
"GABC","GERMAN AMERICAN BANCORP INC","Equity","0.00","31.31","14,661.00","459,035.91","459,035.91","Financials","2502151","US3738651047","NASDAQ"
"FMAO","FARMERS AND MERCHANTS BANCORP INC","Equity","0.00","27.85","16,484.00","459,079.40","459,079.40","Financials","2120865","US30779N1054","NASDAQ"
"NXRT","NEXPOINT RESIDENTIAL TRUST INC","Equity","0.00","30.01","15,304.00","459,273.04","459,273.04","Real Estate","BWC6PW6","US65341D1028","New York Stock Exchange Inc."
"GME","GAMESTOP CORP CLASS A","Equity","0.00","6.04","75,389.00","455,349.56","455,349.56","Consumer Discretionary","B0LLFT5","US36467W1099","New York Stock Exchange Inc."
"TA","TRAVELCENTERS OF AMERICA INC","Equity","0.00","12.07","37,668.00","454,652.76","454,652.76","Consumer Discretionary","BJBM7K6","US89421B1098","NASDAQ"
"BMTC","BRYN MAWR BANK CORP","Equity","0.00","30.55","14,907.00","455,408.85","455,408.85","Financials","2619642","US1176651099","NASDAQ"
"FBNC","FIRST BANCORP","Equity","0.00","28.75","15,868.00","456,205.00","456,205.00","Financials","2351494","US3189101062","NASDAQ"
"LNTH","LANTHEUS HOLDINGS INC","Equity","0.00","14.03","32,116.00","450,587.48","450,587.48","Health Care","BP8S8J5","US5165441032","NASDAQ"
"STRO","SUTRO BIOPHARMA INC","Equity","0.00","9.87","45,630.00","450,368.10","450,368.10","Health Care","BF12XC2","US8693671021","NASDAQ"
"HONE","HARBORONE BANCORP INC","Equity","0.00","8.40","53,749.00","451,491.60","451,491.60","Financials","BK1KX10","US41165Y1001","NASDAQ"
"AR","ANTERO RESOURCES CORP","Equity","0.00","2.46","182,498.00","448,945.08","448,945.08","Energy","BFD2WR8","US03674X1063","New York Stock Exchange Inc."
"BWB","BRIDGEWATER BANCSHARES INC","Equity","0.00","10.47","42,780.00","447,906.60","447,906.60","Financials","BFMZC67","US1086211034","NASDAQ"
"PDLI","PDL BIOPHARMA INC","Equity","0.00","3.37","133,006.00","448,230.22","448,230.22","Health Care","2706704","US69329Y1047","NASDAQ"
"ARR","ARMOUR RESIDENTIAL REIT INC","Equity","0.00","9.18","48,887.00","448,782.66","448,782.66","Financials","BYRYKS0","US0423155078","New York Stock Exchange Inc."
"GRC","GORMAN-RUPP","Equity","0.00","30.55","14,708.00","449,329.40","449,329.40","Industrials","2379281","US3830821043","New York Stock Exchange Inc."
"SIG","SIGNET JEWELERS LTD","Equity","0.00","10.39","42,907.00","445,803.73","445,803.73","Consumer Discretionary","B3CTNK6","BMG812761002","New York Stock Exchange Inc."
"UTL","UNITIL CORP","Equity","0.00","54.99","8,109.00","445,913.91","445,913.91","Utilities","2925037","US9132591077","New York Stock Exchange Inc."
"VCRA","VOCERA COMMUNICATIONS INC","Equity","0.00","18.61","23,957.00","445,839.77","445,839.77","Health Care","B76LYJ2","US92857F1075","New York Stock Exchange Inc."
"CNOB","CONNECTONE BANCORP INC","Equity","0.00","16.33","27,319.00","446,119.27","446,119.27","Financials","BNQ4YF9","US20786W1071","NASDAQ"
"SIBN","SI BONE INC","Equity","0.00","16.75","26,700.00","447,225.00","447,225.00","Health Care","BZ0WN34","US8257041090","NASDAQ"
"UIS","UNISYS CORP","Equity","0.00","12.55","35,290.00","442,889.50","442,889.50","Information Technology","2931595","US9092143067","New York Stock Exchange Inc."
"LOB","LIVE OAK BANCSHARES INC","Equity","0.00","14.31","30,931.00","442,622.61","442,622.61","Financials","BYN5Z59","US53803X1054","NASDAQ"
"JOUT","JOHNSON OUTDOORS INC CLASS A","Equity","0.00","66.93","6,640.00","444,415.20","444,415.20","Consumer Discretionary","2476847","US4791671088","NASDAQ"
"SPWR","SUNPOWER CORP","Equity","0.00","7.73","57,511.00","444,560.03","444,560.03","Information Technology","B59DK93","US8676524064","NASDAQ"
"LEGH","LEGACY HOUSING CORP","Equity","0.00","10.55","41,768.00","440,652.40","440,652.40","Consumer Discretionary","BG5HXX1","US52472M1018","NASDAQ"
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Equity","0.00","15.66","28,153.00","440,875.98","440,875.98","Consumer Discretionary","B8SW166","US2383371091","NASDAQ"
"GRPN","GROUPON INC","Equity","0.00","1.31","336,690.00","441,063.90","441,063.90","Consumer Discretionary","B77D163","US3994731079","NASDAQ"
"EXPI","EXP WORLD HOLDINGS INC","Equity","0.00","9.53","46,301.00","441,248.53","441,248.53","Real Estate","BDH2902","US30212W1009","NASDAQ"
"VRCA","VERRICA PHARMACEUTICALS INC","Equity","0.00","12.69","34,591.00","438,959.79","438,959.79","Health Care","BZ1NTH2","US92511W1080","NASDAQ"
"TVTY","TIVITY HEALTH INC","Equity","0.00","9.48","45,980.00","435,890.40","435,890.40","Health Care","BD8Q1B8","US88870R1023","NASDAQ"
